DTSTART	Params	DTEND	Params	SUMMARY	LOCATION
2018-09-30 13:10:00-06:00	TZID=America/Denver	2018-09-30 16:10:00-06:00	TZID=America/Denver	Washington Nationals @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-22 14:10:00-06:00	TZID=America/Denver	2018-07-22 17:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Arizona Diamondbacks	Away
2018-08-25 18:10:00-06:00	TZID=America/Denver	2018-08-25 21:10:00-06:00	TZID=America/Denver	St. Louis Cardinals @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-05-29 18:40:00-06:00	TZID=America/Denver	2018-05-29 21:40:00-06:00	TZID=America/Denver	San Francisco Giants @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-02 17:15:00-06:00	TZID=America/Denver	2018-06-02 20:15:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-01 14:10:00-06:00	TZID=America/Denver	2018-07-01 17:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Dodgers	Away
2018-08-14 18:10:00-06:00	TZID=America/Denver	2018-08-14 21:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Houston Astros	Away
2018-05-21 20:10:00-06:00	TZID=America/Denver	2018-05-21 23:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Dodgers	Away
2018-07-29 13:10:00-06:00	TZID=America/Denver	2018-07-29 16:10:00-06:00	TZID=America/Denver	Oakland Athletics @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-05-22 20:10:00-06:00	TZID=America/Denver	2018-05-22 23:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Dodgers	Away
2018-06-08 18:40:00-06:00	TZID=America/Denver	2018-06-08 21:40:00-06:00	TZID=America/Denver	Arizona Diamondbacks @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-08 13:10:00-06:00	TZID=America/Denver	2018-08-08 16:10:00-06:00	TZID=America/Denver	Pittsburgh Pirates @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-18 17:10:00-06:00	TZID=America/Denver	2018-08-18 20:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Atlanta Braves	Away
2018-05-28 17:10:00-06:00	TZID=America/Denver	2018-05-28 20:10:00-06:00	TZID=America/Denver	San Francisco Giants @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-22 18:40:00-06:00	TZID=America/Denver	2018-08-22 21:40:00-06:00	TZID=America/Denver	San Diego Padres @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-11 18:40:00-06:00	TZID=America/Denver	2018-07-11 21:40:00-06:00	TZID=America/Denver	Arizona Diamondbacks @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-17 13:05:00-06:00	TZID=America/Denver	2018-06-17 16:05:00-06:00	TZID=America/Denver	Colorado Rockies @ Texas Rangers	Away
2018-06-29 20:10:00-06:00	TZID=America/Denver	2018-06-29 23:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Dodgers	Away
2018-06-09 17:15:00-06:00	TZID=America/Denver	2018-06-09 20:15:00-06:00	TZID=America/Denver	Arizona Diamondbacks @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-07 18:40:00-06:00	TZID=America/Denver	2018-09-07 21:40:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-19 18:40:00-06:00	TZID=America/Denver	2018-06-19 21:40:00-06:00	TZID=America/Denver	New York Mets @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-16 14:05:00-06:00	TZID=America/Denver	2018-06-16 17:05:00-06:00	TZID=America/Denver	Colorado Rockies @ Texas Rangers	Away
2018-06-20 18:40:00-06:00	TZID=America/Denver	2018-06-20 21:40:00-06:00	TZID=America/Denver	New York Mets @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-03 13:10:00-06:00	TZID=America/Denver	2018-06-03 16:10:00-06:00	TZID=America/Denver	Los Angeles Dodgers @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-06 18:40:00-06:00	TZID=America/Denver	2018-08-06 21:40:00-06:00	TZID=America/Denver	Pittsburgh Pirates @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-17 20:10:00-06:00	TZID=America/Denver	2018-09-17 23:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Dodgers	Away
2018-06-21 13:10:00-06:00	TZID=America/Denver	2018-06-21 16:10:00-06:00	TZID=America/Denver	New York Mets @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-26 18:40:00-06:00	TZID=America/Denver	2018-09-26 21:40:00-06:00	TZID=America/Denver	Philadelphia Phillies @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-08-16 17:35:00-06:00	TZID=America/Denver	2018-08-16 20:35:00-06:00	TZID=America/Denver	Colorado Rockies @ Atlanta Braves	Away
2018-05-18 20:15:00-06:00	TZID=America/Denver	2018-05-18 23:15:00-06:00	TZID=America/Denver	Colorado Rockies @ San Francisco Giants	Away
2018-08-31 20:10:00-06:00	TZID=America/Denver	2018-08-31 23:10:00-06:00	TZID=America/Denver	Colorado Rockies @ San Diego Padres	Away
2018-09-15 19:05:00-06:00	TZID=America/Denver	2018-09-15 22:05:00-06:00	TZID=America/Denver	Colorado Rockies @ San Francisco Giants	Away
2018-08-17 17:35:00-06:00	TZID=America/Denver	2018-08-17 20:35:00-06:00	TZID=America/Denver	Colorado Rockies @ Atlanta Braves	Away
2018-08-01 18:15:00-06:00	TZID=America/Denver	2018-08-01 21:15:00-06:00	TZID=America/Denver	Colorado Rockies @ St. Louis Cardinals	Away
2018-09-02 14:10:00-06:00	TZID=America/Denver	2018-09-02 17:10:00-06:00	TZID=America/Denver	Colorado Rockies @ San Diego Padres	Away
2018-06-06 17:10:00-06:00	TZID=America/Denver	2018-06-06 20:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Cincinnati Reds	Away
2018-08-23 13:10:00-06:00	TZID=America/Denver	2018-08-23 16:10:00-06:00	TZID=America/Denver	San Diego Padres @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-05 18:40:00-06:00	TZID=America/Denver	2018-09-05 21:40:00-06:00	TZID=America/Denver	San Francisco Giants @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-10 18:40:00-06:00	TZID=America/Denver	2018-07-10 21:40:00-06:00	TZID=America/Denver	Arizona Diamondbacks @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-21 19:40:00-06:00	TZID=America/Denver	2018-09-21 22:40:00-06:00	TZID=America/Denver	Colorado Rockies @ Arizona Diamondbacks	Away
2018-06-12 17:05:00-06:00	TZID=America/Denver	2018-06-12 20:05:00-06:00	TZID=America/Denver	Colorado Rockies @ Philadelphia Phillies	Away
2018-07-28 18:10:00-06:00	TZID=America/Denver	2018-07-28 21:10:00-06:00	TZID=America/Denver	Oakland Athletics @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-10 18:40:00-06:00	TZID=America/Denver	2018-09-10 21:40:00-06:00	TZID=America/Denver	Arizona Diamondbacks @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-19 20:10:00-06:00	TZID=America/Denver	2018-09-19 23:10:00-06:00	TZID=America/Denver	Colorado Rockies @ Los Angeles Dodgers	Away
2018-09-16 14:05:00-06:00	TZID=America/Denver	2018-09-16 17:05:00-06:00	TZID=America/Denver	Colorado Rockies @ San Francisco Giants	Away
2018-09-25 18:40:00-06:00	TZID=America/Denver	2018-09-25 21:40:00-06:00	TZID=America/Denver	Philadelphia Phillies @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-09-27 13:10:00-06:00	TZID=America/Denver	2018-09-27 16:10:00-06:00	TZID=America/Denver	Philadelphia Phillies @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-06-13 17:05:00-06:00	TZID=America/Denver	2018-06-13 20:05:00-06:00	TZID=America/Denver	Colorado Rockies @ Philadelphia Phillies	Away
2018-06-22 18:40:00-06:00	TZID=America/Denver	2018-06-22 21:40:00-06:00	TZID=America/Denver	Miami Marlins @ Colorado Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2018-07-20 19:40:00-06:00	TZID=America/Denver	2018-07-20 22:40:00-06:00	TZID=America/Denver	Colorado Rockies @ Arizona Diamondbacks	Away
2018-06-14 11:05:00-06:00	TZID=America/Denver	2018-06-14 14:05:00-06:00	TZID=America/Denver	Colorado Rockies @ Philadelphia Phillies	Away
