DTSTART	Params	DTEND	Params	SUMMARY	LOCATION
2019-06-28 18:40:00	TZID=America/Denver	2019-06-28 21:40:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-06-29 18:15:00	TZID=America/Denver	2019-06-29 21:15:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-06-30 13:10:00	TZID=America/Denver	2019-06-30 16:10:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-02 18:10:00	TZID=America/Denver	2019-07-02 21:10:00	TZID=America/Denver	Astros @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-03 18:10:00	TZID=America/Denver	2019-07-03 21:10:00	TZID=America/Denver	Astros @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-12 18:40:00	TZID=America/Denver	2019-07-12 21:40:00	TZID=America/Denver	Reds @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-13 18:10:00	TZID=America/Denver	2019-07-13 21:10:00	TZID=America/Denver	Reds @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-14 13:10:00	TZID=America/Denver	2019-07-14 16:10:00	TZID=America/Denver	Reds @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-15 12:10:00	TZID=America/Denver	2019-07-15 15:10:00	TZID=America/Denver	Giants @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-15 18:40:00	TZID=America/Denver	2019-07-15 21:40:00	TZID=America/Denver	Giants @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-16 18:40:00	TZID=America/Denver	2019-07-16 21:40:00	TZID=America/Denver	Giants @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-17 13:10:00	TZID=America/Denver	2019-07-17 16:10:00	TZID=America/Denver	Giants @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-29 18:40:00	TZID=America/Denver	2019-07-29 21:40:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-30 18:40:00	TZID=America/Denver	2019-07-30 21:40:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-07-31 13:10:00	TZID=America/Denver	2019-07-31 16:10:00	TZID=America/Denver	Dodgers @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-02 18:40:00	TZID=America/Denver	2019-08-02 21:40:00	TZID=America/Denver	Giants @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-03 18:10:00	TZID=America/Denver	2019-08-03 21:10:00	TZID=America/Denver	Giants @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-04 13:10:00	TZID=America/Denver	2019-08-04 16:10:00	TZID=America/Denver	Giants @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-12 18:40:00	TZID=America/Denver	2019-08-12 21:40:00	TZID=America/Denver	D-backs @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-13 18:40:00	TZID=America/Denver	2019-08-13 21:40:00	TZID=America/Denver	D-backs @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-14 13:10:00	TZID=America/Denver	2019-08-14 16:10:00	TZID=America/Denver	D-backs @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-16 18:40:00	TZID=America/Denver	2019-08-16 21:40:00	TZID=America/Denver	Marlins @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-17 18:10:00	TZID=America/Denver	2019-08-17 21:10:00	TZID=America/Denver	Marlins @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-18 13:10:00	TZID=America/Denver	2019-08-18 16:10:00	TZID=America/Denver	Marlins @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-26 13:10:00	TZID=America/Denver	2019-08-26 16:10:00	TZID=America/Denver	Braves @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-27 18:40:00	TZID=America/Denver	2019-08-27 21:40:00	TZID=America/Denver	Red Sox @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-28 18:40:00	TZID=America/Denver	2019-08-28 21:40:00	TZID=America/Denver	Red Sox @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-29 18:40:00	TZID=America/Denver	2019-08-29 21:40:00	TZID=America/Denver	Pir@es @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
2019-08-30 18:40:00	TZID=America/Denver	2019-08-30 21:40:00	TZID=America/Denver	Pir@es @ Rockies	Coors Field|2001 Blake St.|Denver, CO 80205
